iter	RMSE
0	1666.199305
1	1605.725256
2	1547.670281
3	1491.89208
4	1438.482221
5	1387.246115
6	1338.236923
7	1291.221837
8	1254.54587
9	1211.014612
10	1169.366398
11	1129.526163
12	1091.392774
13	1061.684508
14	1026.500645
15	992.8253693
16	960.6675725
17	929.8873773
18	900.5497182
19	872.4992653
20	850.7498906
21	824.9639038
22	800.4565741
23	777.0837427
24	754.8724604
25	737.6251094
26	721.0684862
27	701.5549905
28	682.9877093
29	665.3645846
30	648.7109486
31	632.8840128
32	620.3465033
33	608.6217894
34	597.3703296
35	584.0566912
36	574.2971604
37	564.2939266
38	554.9556497
39	543.8670868
40	535.1231227
41	526.8756226
42	518.6273675
43	511.8432721
44	504.4082262
45	497.1620362
46	491.1849302
47	485.2694535
48	479.0456382
49	473.1939725
50	467.5377233
51	462.7932857
52	457.5473926
53	452.2831079
54	447.2584243
55	442.5275646
56	437.8540682
57	433.4648055
58	429.2501
59	424.9574182
60	421.7930907
61	417.931632
62	414.5557139
63	411.183864
64	407.7096159
65	404.526406
66	402.2490055
67	399.7369665
68	396.6253077
69	393.808211
70	391.0135386
71	388.753573
72	386.5034001
73	384.107377
74	381.6982188
75	378.9683381
76	376.8921566
77	375.5169925
78	373.903118
79	371.7248465
80	369.900935
81	368.7842162
82	367.1697173
83	365.6048285
84	364.3263417
85	362.8487521
86	359.7210062
87	358.6275515
88	357.465292
89	356.696592
90	355.4755612
91	354.861122
92	353.7818709
93	352.7163939
94	351.9943472
95	351.2689634
96	349.2319489
97	345.3874165
98	344.1590469
99	343.2547537
100	342.5834055
101	341.8901688
102	341.070449
103	340.65468
104	339.5901136
105	338.7561498
106	338.3850953
107	337.9969634
108	337.1833988
109	336.1005509
110	335.209033
111	332.1953977
112	331.8521117
113	330.6590321
114	326.770775
115	326.0123889
116	325.2282894
117	324.2410257
118	323.3890378
119	322.9261872
120	322.3517413
121	319.8712545
122	319.3528407
123	318.0711196
124	317.4748507
125	315.7099621
126	315.1530792
127	314.6121679
128	313.785166
129	313.3436385
130	312.6528433
131	312.0675225
132	311.6446293
133	311.1979437
134	310.9067964
135	308.0667752
136	307.1246554
137	306.3211245
138	304.5356793
139	304.3114132
140	304.0372464
141	303.7981376
142	303.3429729
143	302.8612561
144	302.4382063
145	300.7976456
146	298.1557671
147	295.3432601
148	294.8079175
149	294.0850195
150	293.6077752
151	293.2030691
152	292.9636814
153	292.5955255
154	292.2434927
155	291.8127649
156	291.1744929
