iter	Passed	Remaining
0	59	29786
1	61	15340
2	63	10505
3	64	8057
4	66	6599
5	68	5639
6	70	4945
7	72	4429
8	74	4049
9	76	3726
10	77	3459
11	79	3232
12	81	3041
13	82	2873
14	84	2739
15	86	2615
16	88	2501
17	89	2399
18	91	2312
19	93	2236
20	94	2162
21	96	2096
22	98	2038
23	100	1983
24	101	1931
25	103	1883
26	104	1838
27	106	1796
28	108	1758
29	109	1721
30	111	1687
31	113	1654
32	114	1621
33	116	1596
34	118	1567
35	119	1541
36	121	1516
37	122	1492
38	124	1470
39	126	1451
40	127	1431
41	129	1411
42	131	1393
43	132	1375
44	134	1359
45	136	1343
46	137	1327
47	139	1312
48	141	1298
49	142	1284
50	144	1271
51	146	1259
52	147	1247
53	149	1235
54	151	1223
55	152	1211
56	154	1201
57	156	1190
58	157	1179
59	159	1169
60	161	1159
61	162	1149
62	164	1140
63	165	1130
64	167	1120
65	169	1112
66	170	1104
67	172	1095
68	174	1087
69	175	1079
70	177	1072
71	179	1064
72	180	1056
73	182	1050
74	184	1043
75	185	1037
76	187	1030
77	189	1024
78	190	1017
79	192	1011
80	194	1004
81	195	998
82	197	992
83	199	985
84	200	980
85	202	973
86	204	968
87	205	963
88	207	957
89	208	951
90	210	946
91	212	940
92	213	935
93	215	930
94	217	925
95	218	920
96	220	915
97	221	910
98	223	905
99	225	900
100	226	895
101	228	891
102	230	886
103	231	882
104	233	878
105	235	873
106	236	869
107	238	865
108	240	861
109	242	859
110	244	855
111	245	851
112	247	847
113	249	843
114	250	839
115	252	835
116	254	831
117	255	828
118	257	824
119	259	821
120	260	817
121	262	814
122	264	810
123	266	806
124	267	802
125	269	799
126	270	795
127	272	792
128	274	788
129	275	784
130	277	781
131	279	778
132	280	774
133	282	771
134	283	767
135	285	764
136	287	761
137	288	757
138	290	754
139	292	751
140	293	748
141	295	745
142	297	742
143	298	738
144	300	735
145	302	732
146	304	730
147	305	727
148	307	723
149	308	720
150	310	717
151	312	714
152	313	711
153	315	708
154	316	705
155	318	702
156	320	699
157	321	696
158	323	693
159	325	691
160	327	688
161	328	686
162	330	683
163	332	680
164	333	677
165	335	675
166	337	672
167	338	669
168	340	667
169	342	664
170	344	663
171	346	660
172	348	658
173	349	655
174	351	653
175	353	650
176	354	647
177	356	645
178	358	642
179	360	640
180	361	637
181	363	634
182	364	631
183	366	629
184	368	626
185	369	624
186	371	621
187	372	618
188	374	616
189	376	613
190	377	611
191	379	608
192	381	606
193	382	603
194	384	601
195	386	598
196	387	596
197	389	593
198	391	591
199	392	589
200	394	586
201	395	584
202	397	581
203	399	579
204	401	577
205	402	574
206	404	572
207	405	569
208	407	567
209	409	565
210	411	563
211	413	561
212	414	558
213	416	556
214	417	554
215	419	551
216	421	549
217	422	547
218	424	544
219	426	542
220	427	540
221	429	537
222	430	535
223	432	532
224	434	530
225	436	529
226	438	526
227	439	524
228	441	522
229	443	520
230	444	517
231	446	515
232	448	513
233	449	511
234	451	509
235	453	507
236	454	504
237	456	502
238	458	500
239	460	498
240	461	496
241	463	494
242	465	492
243	466	489
244	468	487
245	470	485
246	471	483
247	473	481
248	475	479
249	476	476
250	478	474
251	480	472
252	481	470
253	483	468
254	485	466
255	486	463
256	488	461
257	490	459
258	491	457
259	493	455
260	495	453
261	496	451
262	498	449
263	499	446
264	501	444
265	503	442
266	504	440
267	506	438
268	508	436
269	509	434
270	511	431
271	512	429
272	514	427
273	516	425
274	518	423
275	519	421
276	521	419
277	522	417
278	524	415
279	526	413
280	528	411
281	530	409
282	531	407
283	533	405
284	534	403
285	536	401
286	538	399
287	540	397
288	541	395
289	543	393
290	544	391
291	546	389
292	548	387
293	549	385
294	551	383
295	553	381
296	554	379
297	556	377
298	557	375
299	559	373
300	561	371
301	563	369
302	565	367
303	566	365
304	568	363
305	570	361
306	571	359
307	573	357
308	575	355
309	577	353
310	579	352
311	581	350
312	582	348
313	584	346
314	586	344
315	587	342
316	589	340
317	591	338
318	593	336
319	595	334
320	597	333
321	598	330
322	600	329
323	602	327
324	603	325
325	605	323
326	607	321
327	608	319
328	610	317
329	612	315
330	613	313
331	615	311
332	617	309
333	618	307
334	620	305
335	622	303
336	624	302
337	626	300
338	627	298
339	629	296
340	630	294
341	632	292
342	634	290
343	635	288
344	637	286
345	639	284
346	640	282
347	642	280
348	643	278
349	645	276
350	647	274
351	649	272
352	650	271
353	652	269
354	654	267
355	656	265
356	657	263
357	659	261
358	661	259
359	662	257
360	664	255
361	666	253
362	667	252
363	669	250
364	671	248
365	673	246
366	674	244
367	676	242
368	678	240
369	679	238
370	681	236
371	682	235
372	684	233
373	686	231
374	687	229
375	689	227
376	691	225
377	692	223
378	694	221
379	695	219
380	697	217
381	699	215
382	701	214
383	702	212
384	704	210
385	706	208
386	707	206
387	709	204
388	711	202
389	712	201
390	714	199
391	715	197
392	717	195
393	719	193
394	720	191
395	722	189
396	724	187
397	725	185
398	727	184
399	729	182
400	730	180
401	732	178
402	734	176
403	735	174
404	737	173
405	739	171
406	740	169
407	742	167
408	744	165
409	746	163
410	747	161
411	749	160
412	751	158
413	752	156
414	754	154
415	755	152
416	757	150
417	759	148
418	760	147
419	762	145
420	764	143
421	765	141
422	767	139
423	769	137
424	770	136
425	772	134
426	774	132
427	775	130
428	777	128
429	779	126
430	780	125
431	782	123
432	784	121
433	785	119
434	787	117
435	789	115
436	790	114
437	792	112
438	794	110
439	796	108
440	798	106
441	799	104
442	801	103
443	803	101
444	804	99
445	806	97
446	808	95
447	809	93
448	811	92
449	813	90
450	814	88
451	816	86
452	818	84
453	819	83
454	821	81
455	823	79
456	825	77
457	826	75
458	828	74
459	830	72
460	831	70
461	833	68
462	835	66
463	836	64
464	838	63
465	840	61
466	842	59
467	843	57
468	845	55
469	847	54
470	848	52
471	850	50
472	852	48
473	853	46
474	855	45
475	857	43
476	858	41
477	860	39
478	861	37
479	863	35
480	865	34
481	866	32
482	868	30
483	870	28
484	871	26
485	874	25
486	875	23
487	877	21
488	879	19
489	880	17
490	882	16
491	884	14
492	885	12
493	887	10
494	889	8
495	890	7
496	892	5
497	893	3
498	895	1
499	896	0
