id,price,accommodates,bedrooms,beds,review_scores_rating,number_of_reviews,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_experience,is_professional_host,is_entire_home_apt,is_private_room,is_shared_room,is_hotel_room,is_pankow,is_neukoelln,is_mitte,is_friedrichshain_kreuzberg,is_charlottenburg_wilm,is_tempelhof_schoeneberg,is_lichtenberg,is_steglitz_zehlendorf,is_treptow_koepenick,is_reinickendorf,is_marzahn_hellersdorf,is_spandau,dist_brandenburger_tor,dist_alexanderplatz,dist_reichstagsgebaeude,dist_potsdamer_platz,dist_siegessaeule,dist_tiergarten,has_wifi,has_kitchen,has_air_conditioning,has_free_parking,has_washer,has_dryer,has_heating,has_tv,has_dishwasher,has_refrigerator,has_microwave,has_coffee_maker,has_hot_water,has_smoke_alarm,has_essentials,has_hair_dryer,has_iron,has_bed_linens,has_shampoo,has_free_washer,bathrooms,property_entire_rental_unit,property_private_room_in_rental_unit,property_entire_condo,property_entire_serviced_apartment,property_room_in_hotel,property_private_room_in_condo,property_entire_loft,property_private_room_in_home,property_entire_home,property_private_room_in_bed_and_breakfast,property_private_room_in_hostel,property_entire_guesthouse,property_room_in_boutique_hotel,property_shared_room_in_hostel,property_room_in_aparthotel,property_other,bedroom_density,beds_per_person,bathrooms_per_person,total_rooms,avg_dist_to_landmark,review_score_std,min_dist_to_landmark,total_amenities
3176,105.0,2,1.0,2.0,4.63,150,4.67,4.52,4.65,4.7,4.92,4.61,6184.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.4162207511348788,1.4602877047195133,3.3526968501157657,3.991800246998195,5.11670931851495,4.962781940028424,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.0,0.5,2.0,3.716749468585288,0.12348124978157234,1.4602877047195133,13
9991,135.0,7,4.0,4.0,5.0,7,5.0,5.0,5.0,5.0,4.86,4.86,5874.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.28359856568914,1.2416475891936145,3.2355063699785176,3.8328117245653406,5.019328200802484,4.8380985350953045,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,0.5714285714285714,0.35714285714285715,6.5,3.5751651642207336,0.06831300510639716,1.2416475891936145,15
14325,75.0,1,0.0,1.0,4.68,26,5.0,4.85,4.7,4.85,4.6,4.45,5789.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.953362402965449,2.985432038926458,3.771007443040336,4.702146252854723,5.202355552520326,5.295133931427001,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,4.318239603622382,0.1827306109836996,2.985432038926458,9
17904,32.0,2,0.0,1.0,4.77,298,4.82,4.71,4.89,4.92,4.88,4.65,5738.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.857687867940786,3.1357404600077436,4.105045316978603,3.4727060852510436,5.344986576186398,4.691080555497088,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.5,1.0,4.101207810310277,0.10047506205640318,3.1357404600077436,10
20858,202.0,4,2.0,2.0,4.48,140,4.61,4.65,4.5,4.54,4.91,4.39,5728.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.132960596964701,1.7145368334561777,3.0196683002003244,3.796169850337088,4.701009784803525,4.629595750351751,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0.25,3.0,3.498990186018928,0.16770154896067466,1.7145368334561777,11
22677,152.0,5,2.0,5.0,4.81,600,4.82,4.77,4.87,4.89,4.93,4.69,5685.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.6533460221374416,1.4142421693305494,2.5480433838805054,3.312069282757257,4.258206864353516,4.161170132443048,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.0,0.2,3.0,3.0578463091503862,0.08038597366397161,1.4142421693305494,13
23834,65.0,4,1.0,3.0,4.37,98,4.41,4.51,4.72,4.59,4.52,4.39,5670.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.7761017466681,4.085434539218886,3.0429685140125367,1.9935226220609132,3.2679064392609156,2.5536121691166453,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0.25,2.0,2.9532576717229997,0.1252236095189416,1.9935226220609132,12
26543,260.0,4,2.0,4.0,4.66,201,4.64,4.55,4.65,4.74,4.84,4.45,5633.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.201345416494785,2.5134460573970556,4.085547518807687,4.857519073400686,5.738739890063861,5.6924733771336005,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.0,0.5,4.0,4.514845222216279,0.1253946152105804,2.5134460573970556,14
28156,70.0,1,0.0,1.0,4.66,34,4.75,4.84,4.88,4.97,4.69,4.26,5789.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.939294255743297,2.978181164494098,3.756637351888326,4.688461077015686,5.187168657897915,5.280260275806416,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,4.305000463807622,0.23075445618149834,2.978181164494098,9
30295,172.0,8,2.0,4.0,4.8,503,4.82,4.75,4.91,4.93,4.88,4.73,5286.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.499562008705416,2.7526009538575114,4.385227714874493,5.151127054682145,6.037290846920197,5.9924969608647025,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.125,3.0,4.803050923317411,0.07776643908280118,2.7526009538575114,15
