id,set
3176,test
9991,train
14325,train
17904,train
20858,train
22677,train
23834,train
26543,train
28156,test
30295,train
34854,train
37004,train
42487,train
42809,train
55853,train
57049,train
58780,test
64014,train
64590,train
68448,train
69780,train
80843,test
81081,test
83614,train
85560,train
86090,train
89102,train
115576,train
117649,train
127708,train
128827,train
135097,train
147339,test
151249,train
159454,train
168615,train
173153,train
176342,train
179102,test
180440,train
186851,test
189288,train
190448,train
194374,train
198239,train
198584,train
205296,test
214518,train
220445,train
221015,train
222784,train
225639,train
229348,train
229363,test
229776,train
230611,train
231220,test
237670,train
238396,train
242794,train
242908,test
242927,train
242978,train
243057,test
243081,test
243238,train
245744,test
245827,train
249419,train
250007,train
250253,train
250687,train
250704,train
250707,train
250729,train
250753,train
250871,train
251406,train
251423,test
251486,train
251493,train
251984,test
254788,train
255557,train
255722,train
257373,test
264459,train
265354,train
265389,train
265394,train
265402,train
265408,train
266086,test
267764,train
267951,test
268974,train
273011,test
302167,train
303097,train
304904,train
306312,test
311703,train
320279,train
321295,test
321308,train
321378,train
322463,train
322520,train
323259,train
335273,train
341910,train
344856,train
344986,test
345373,train
352998,train
355227,test
355494,test
362701,train
363454,train
402826,train
408756,train
415218,test
421236,train
425411,test
425487,train
446975,test
456902,test
488161,train
493539,train
499342,test
499353,train
502598,train
504259,train
511935,test
512476,train
523052,train
533523,test
533864,test
541569,train
542674,test
578821,train
580667,train
583916,train
589169,test
589285,train
590200,test
594032,train
597413,train
598982,train
606926,test
620013,test
633372,train
642955,train
667849,train
671958,train
680999,train
681132,train
685944,train
687582,train
691469,train
693357,train
694871,train
696372,train
698727,train
700806,train
701909,train
703900,test
706237,train
714312,train
731285,train
742211,train
744264,test
749508,train
753152,train
768616,train
769334,test
772627,test
773066,train
776069,train
777993,train
782924,train
782997,train
789018,train
795924,train
817454,train
817473,test
819740,train
829241,train
836938,train
851630,test
851688,train
856117,test
856845,train
860671,test
861698,train
863534,train
865222,test
866332,train
869793,train
871854,train
878074,train
880130,test
880250,test
889901,train
901837,test
913379,train
919931,train
922815,train
926670,train
929443,test
937705,test
945373,train
962143,test
965074,test
969200,train
978892,train
979758,test
989871,train
993985,test
997825,train
1005341,train
1009209,train
1017368,test
1030060,train
1032446,test
1033506,train
1052235,train
1052941,train
1062210,train
1067886,train
1068023,train
1069492,test
1084183,train
1084512,test
1111145,train
1120028,train
1120297,train
1125176,test
1128861,train
1130337,train
1146439,train
1153584,train
1158424,train
